City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,278.57,97,100,13.78,TF,1720634366
1,ilulissat,69.2167,-51.1,276.39,87,96,2.58,GL,1720634367
2,somerset east,-32.7217,25.588,286.16,59,54,4.84,ZA,1720634368
3,waitangi,-43.9535,-176.5597,281.38,91,100,5.36,NZ,1720634370
4,blackmans bay,-43.0167,147.3167,281.22,96,46,3.04,AU,1720634371
5,egilsstadir,65.2653,-14.3948,294.1,37,0,4.63,IS,1720634372
6,nova granada,-20.5339,-49.3142,299.29,50,65,2.62,BR,1720634373
7,praia da vitoria,38.7333,-27.0667,299.29,65,20,6.22,PT,1720634374
8,yellowknife,62.456,-114.3525,293.38,50,75,0.45,CA,1720634166
9,polyarnyy,69.1989,33.4478,285.03,69,89,1.29,RU,1720634376
10,ushuaia,-54.8,-68.3,276.96,65,75,12.35,AR,1720634377
11,aasiaat,68.7098,-52.8699,276.89,90,100,3.91,GL,1720634378
12,ambalangoda,6.2355,80.0538,299.75,87,64,4.12,LK,1720634379
13,betio village,1.358,172.9211,300.17,76,89,4.4,KI,1720634382
14,carnarvon,-24.8667,113.6333,291.83,71,16,6.72,AU,1720634383
15,acapulco de juarez,16.8634,-99.8901,297.61,82,100,2.18,MX,1720634384
16,tiksi,71.6872,128.8694,285.36,56,63,0.48,RU,1720634385
17,cole harbour,44.6724,-63.4751,303.05,72,75,2.57,CA,1720634386
18,kapuskasing,49.4169,-82.4331,289.2,77,100,4.12,CA,1720634327
19,diffa,13.3154,12.6113,305.96,43,45,4.66,NE,1720634388
20,constantia,44.1833,28.65,302.53,60,59,1.69,RO,1720634389
21,calvinia,-31.4707,19.776,283.22,87,59,3.93,ZA,1720634391
22,kailua-kona,19.6406,-155.9956,299.13,87,40,1.54,US,1720634292
23,sinabang,2.4803,96.3801,299.4,81,100,2.31,ID,1720634393
24,crane,31.3974,-102.3501,305.7,27,2,4.46,US,1720634394
25,kingston,17.997,-76.7936,307.13,66,20,6.69,JM,1720634395
26,albany,42.6001,-73.9662,306.8,65,99,0.89,US,1720634377
27,mariehamn,60.0973,19.9348,292.07,59,0,5.14,AX,1720634397
28,port elizabeth,-33.918,25.5701,286.31,82,0,1.03,ZA,1720634398
29,bowral,-34.4667,150.4167,279.81,96,20,2.23,AU,1720634241
30,invercargill,-46.4,168.35,274.83,97,42,0.45,NZ,1720634401
31,atraulia,26.3333,82.95,307.45,58,96,2.22,IN,1720634402
